nom_hotel,distance_centre_km,note,nb_avis,prix,lien
Hotel de l'Union,5.5,0.0,0,25.0,https://www.hostelworld.com/hosteldetails.php/Hotel-de-l-Union/Paris/99006
Garden Opera,1.7,0.0,82,29.75,https://www.hostelworld.com/hosteldetails.php/Garden-Opera/Paris/5073
Adonis Sacre Coeur Hotel Roma,2.6,6.9,2,37.5,https://www.hostelworld.com/hosteldetails.php/Adonis-Sacre-Coeur-Hotel-Roma/Paris/263702
Hotel Comete Paris,5.8,0.0,0,70.0,https://www.hostelworld.com/hosteldetails.php/Hotel-Comete-Paris/Paris/265264
Hotel Claude Bernard Saint Germain,2.2,0.0,1,57.25,https://www.hostelworld.com/hosteldetails.php/Hotel-Claude-Bernard-Saint-Germain/Paris/93935
Hotel Arc de Triomphe Etoile,2.9,0.0,0,55.0,https://www.hostelworld.com/hosteldetails.php/Hotel-Arc-de-Triomphe-Etoile/Paris/275335
Corona Rodier,1.4,4.9,4,38.0,https://www.hostelworld.com/hosteldetails.php/Corona-Rodier/Paris/282243
Hotel Villa Glamour,4.1,0.0,4,62.5,https://www.hostelworld.com/hosteldetails.php/Hotel-Villa-Glamour/Paris/68641
Villa des Princes,1.8,0.0,79,56.52,https://www.hostelworld.com/hosteldetails.php/Villa-des-Princes/Paris/605
Hotel  Korner Etoile,3.6,7.7,21,27.0,https://www.hostelworld.com/hosteldetails.php/Hotel-Korner-Etoile/Paris/61335
Hôtel des Deux Avenues,2.9,0.0,8,54.0,https://www.hostelworld.com/hosteldetails.php/Hotel-des-Deux-Avenues/Paris/40815
Hotel Paris Bruxelles - Paris,2.1,0.0,21,32.5,https://www.hostelworld.com/hosteldetails.php/Hotel-Paris-Bruxelles-Paris/Paris/66870
Classics Hôtel Porte de Versailles,5.1,0.0,1,35.0,https://www.hostelworld.com/hosteldetails.php/Classics-Hotel-Porte-de-Versailles/Paris/67619
Hotel Audran,2.1,8.9,38,32.0,https://www.hostelworld.com/hosteldetails.php/Hotel-Audran/Paris/35618
Hotel Opera Vivaldi 3***,0.6,0.0,7,60.0,https://www.hostelworld.com/hosteldetails.php/Hotel-Opera-Vivaldi-3/Paris/29730
Hotel Beaunier,4.7,7.2,145,33.0,https://www.hostelworld.com/hosteldetails.php/Hotel-Beaunier/Paris/37
